X;Y;OBJECTID;src_geo;clc_quartier;clc_secteur;haut_tot;haut_tronc;tronc_diam;fk_arb_etat;vivant;fk_stadedev;fk_port;fk_pied;fk_situation;fk_revetement;commentaire_environnement;dte_plantation;age_estim;fk_prec_estim;clc_nbr_diag;dte_abattage;villeca;nom;GlobalID;feuillage;remarquable
1720320.108;8294619.356;1;Orthophoto;Quartier du Centre-Ville;Boulevard Richelieu;0;0;0;SUPPRIME;Non;;;;Alignement;Non;RAS;;0;;0;01/07/2015 02:00;VILLE;Non renseigne;{476EB2CE-1FD4-4F89-8162-79D75651225A};;Non
1720898.301;8293531.134;2;Orthophoto;Quartier du Centre-Ville;Boulevard Leon Blum;0;0;0;ABATTU;Non;;;;Alignement;Non;RAS;;0;;0;;VILLE;Non renseigne;{B5A9F630-92C5-4B8A-A934-0CABDA46085E};;Non
1720893.84;8293542.45;3;Orthophoto;Quartier du Centre-Ville;Boulevard Leon Blum;0;0;0;SUPPRIME;Non;;;;Alignement;Non;RAS;;0;;0;;VILLE;Non renseigne;{F5914EAD-05CD-4ADF-A7C9-55EFF91B2ABE};;Non
1720901.65;8293545.467;4;Orthophoto;Quartier du Centre-Ville;Boulevard Leon Blum;0;0;0;SUPPRIME;Non;;;;Alignement;Non;RAS;;0;;0;;VILLE;Non renseigne;{41168E06-B7C0-43CD-B8FE-7495B6E93AB5};;Non
1721089.065;8293619.339;5;Orthophoto;Quartier du Centre-Ville;Boulevard Leon Blum;0;0;0;ABATTU;Non;;;;Alignement;Non;RAS;;0;;0;;VILLE;Non renseigne;{4F0E4B12-4612-4F61-9911-43684831FD7D};;Non
1720078.139;8294129.205;6;Orthophoto;Quartier du Centre-Ville;Boulevard Henri Martin;0;0;0;ABATTU;Non;;;;Alignement;Non;RAS;;0;;0;;VILLE;Non renseigne;{C3715C70-1D63-4C1E-A017-C0656033DAA5};;Non
1720807.225;8293508.056;7;Orthophoto;Quartier du Centre-Ville;Boulevard Leon Blum;0;0;0;ABATTU;Non;;;;Alignement;Non;RAS;;0;;0;;VILLE;Non renseigne;{F397ECCB-36A9-4039-A311-CE5EFC99EB1E};;Non
1720077.265;8294122.862;8;Orthophoto;Quartier du Centre-Ville;Boulevard Henri Martin;0;0;0;SUPPRIME;Non;;;;Alignement;Non;RAS;;0;;0;01/07/2017 00:00;VILLE;Non renseigne;{05434A16-E9E1-4BE3-AD01-0EE14405EF86};;Non
1720076.328;8294116.006;9;Orthophoto;Quartier du Centre-Ville;Boulevard Henri Martin;0;0;0;SUPPRIME;Non;;;;Alignement;Non;RAS;;0;;0;01/07/2017 00:00;VILLE;Non renseigne;{140E8C80-724B-488D-9324-698AE2444A4B};;Non
1721095.646;8293514.737;10;Orthophoto;Quartier du Centre-Ville;Quai Gayant;6;2;37;EN PLACE;Oui;jeune;semi libre;gazon;Alignement;Non;RAS;;15;5;0;;VILLE;QUERUB;{B33346A7-0DE2-428E-A48D-4B231368284C};Feuillu;Non
